,MSE,Regret,Relative Regret,Optimal
0,0.9489638784319204,0.0,0.0,1.0
1,0.6003919340843623,0.0,0.0,1.0
2,3.0509065408106837,0.0,0.0,1.0
3,0.5548408642100192,0.0,0.0,1.0
4,8.683578370692889,0.0,0.0,1.0
5,1.390371840760725,1.0,0.07142857091836735,0.0
6,0.934853860797341,0.0,0.0,1.0
7,0.7145843006914276,1.0,0.09999999900000002,0.0
8,0.31488507995797194,0.0,0.0,1.0
9,5.417075281945228,0.0,0.0,1.0
10,4.321828300952904,1.0,0.062499999609374995,0.0
11,3.450093417743676,0.0,0.0,1.0
12,1.9589911870957564,0.0,0.0,1.0
13,4.225401559133843,3.0,0.11111111069958847,0.0
14,0.2382414753533598,0.0,0.0,1.0
15,1.7504131234007674,0.0,0.0,1.0
16,1.2824150508225602,0.0,0.0,1.0
17,0.829557724638039,1.0,0.12499999843750002,0.0
18,0.24881341746023508,0.0,0.0,1.0
19,1.924287099833964,0.0,0.0,1.0
20,6.701654393147749,3.0,0.19999999866666668,0.0
21,1.5424984421370624,0.0,0.0,1.0
22,0.6800410395084815,0.0,0.0,1.0
23,2.9780526520279182,0.0,0.0,1.0
24,20.272522194689838,0.0,0.0,1.0
25,1.949605276030934,0.0,0.0,1.0
26,0.44536475267267195,0.0,0.0,1.0
27,1.9391754873917761,0.0,0.0,1.0
28,0.9694046308567337,0.0,0.0,1.0
29,1.6699310648075443,0.0,0.0,1.0
30,1.3262843661235462,0.0,0.0,1.0
31,10.94129385724464,0.0,0.0,1.0
32,0.528116969666548,0.0,0.0,1.0
33,0.9903705966054304,0.0,0.0,1.0
34,0.5272478502355991,1.0,0.12499999843750002,0.0
35,22.9598090859452,3.0,0.061224489670970425,0.0
36,1.0978357025200443,0.0,0.0,1.0
37,0.8526467333624517,0.0,0.0,1.0
38,0.7811165291709699,0.0,0.0,1.0
39,2.0389331406074347,0.0,0.0,1.0
40,0.7747999827218706,0.0,0.0,1.0
41,1.9019076311135905,2.0,0.09090909049586776,0.0
42,3.6441247341295986,0.0,0.0,1.0
43,0.8647383838761827,0.0,0.0,1.0
44,6.0212935632504125,0.0,0.0,1.0
45,1.0972364778873531,1.0,0.16666666388888893,0.0
46,0.26651694278485116,0.0,0.0,1.0
47,0.8475224230594953,1.0,0.09999999900000002,0.0
48,1.2898878861743015,1.0,0.09999999900000002,0.0
49,3.504476657296064,0.0,0.0,1.0
50,2.379209386348839,0.0,0.0,1.0
51,2.441023809907185,0.0,0.0,1.0
52,0.9090394490618905,0.0,0.0,1.0
53,3.0442481229216747,0.0,0.0,1.0
54,0.8516053201513047,0.0,0.0,1.0
55,4.880629805032231,0.0,0.0,1.0
56,1.0413314986060414,1.0,0.052631578670360106,0.0
57,3.0814966902824983,0.0,0.0,1.0
58,0.6452732038965848,0.0,0.0,1.0
59,2.158427390257129,0.0,0.0,1.0
60,0.3445250403819831,0.0,0.0,1.0
61,1.3419356304997911,0.0,0.0,1.0
62,0.5368696706594278,0.0,0.0,1.0
63,6.077474353576713,0.0,0.0,1.0
64,3.00496501937497,2.0,0.11111111049382716,0.0
65,0.9615479334601538,0.0,0.0,1.0
66,20.79648285995263,0.0,0.0,1.0
67,0.5368590232694397,0.0,0.0,1.0
68,3.64640339759012,3.0,0.10344827550535077,0.0
69,1.5725349775008233,0.0,0.0,1.0
70,1.2236547451219564,0.0,0.0,1.0
71,4.124033460915098,0.0,0.0,1.0
72,4.970570073973522,0.0,0.0,1.0
73,1.9244358831070898,0.0,0.0,1.0
74,0.8130336800569811,1.0,0.12499999843750002,0.0
75,0.6682774027178148,0.0,0.0,1.0
76,2.0632281127900134,0.0,0.0,1.0
77,1.8420918698467141,0.0,0.0,1.0
78,1.5353542588126516,1.0,0.049999999749999996,0.0
79,4.629590592172602,0.0,0.0,1.0
80,0.7200617955268539,0.0,0.0,1.0
81,0.7879569207203878,0.0,0.0,1.0
82,2.7147382229889794,0.0,0.0,1.0
83,1.1672766215075967,0.0,0.0,1.0
84,0.46924120317172824,0.0,0.0,1.0
85,0.6950690869951113,0.0,0.0,1.0
86,3.916331248963946,0.0,0.0,1.0
87,8.51603577965453,0.0,0.0,1.0
88,0.6557390462038315,0.0,0.0,1.0
89,0.6038210074864878,1.0,0.06666666622222223,0.0
90,0.7227451948469031,0.0,0.0,1.0
91,0.8523127123619272,0.0,0.0,1.0
92,0.3063382043086863,0.0,0.0,1.0
93,1.4214617327828623,2.0,0.13333333244444445,0.0
94,0.8383989791024511,1.0,0.07692307633136096,0.0
95,0.7208646019595107,1.0,0.14285714081632656,0.0
96,2.858514648699804,2.0,0.0869565213610586,0.0
97,4.3664740572078875,0.0,0.0,1.0
98,1.8973797264167955,1.0,0.052631578670360106,0.0
99,1.2795021324389069,0.0,0.0,1.0
